,name,review_score,reviewers,final_price,discount,ori_price,release_date,id,link
280,Sniper Elite 4,91,"41,370",64.99,90,"649,99",2017 年 2 月 14 日,312660,https://store.steampowered.com/app/312660/Sniper_Elite_4/?snr=1_7_7_2300_150_12
281,Kerbal Space Program 2,51,"13,461",2560.0,20,"3.200,00",2023 年 2 月 24 日,954850,https://store.steampowered.com/app/954850/Kerbal_Space_Program_2/?snr=1_7_7_2300_150_12
282,Darkest Dungeon®,91,"109,865",525.0,70,"1.750,00",2016 年 1 月 20 日,262060,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_2300_150_12
283,双点校园 ,88,"2,122",3684.33,33,"5.499,00",2022 年 8 月 9 日,1649080,https://store.steampowered.com/app/1649080/_/?snr=1_7_7_2300_150_12
284,Untitled Goose Game,95,"13,362",112.49,50,"224,99",2020 年 9 月 24 日,837470,https://store.steampowered.com/app/837470/Untitled_Goose_Game/?snr=1_7_7_2300_150_12
285,Age of Mythology: Extended Edition,92,"26,269",749.75,75,"2.999,00",2014 年 5 月 9 日,266840,https://store.steampowered.com/app/266840/Age_of_Mythology_Extended_Edition/?snr=1_7_7_2300_150_12
286,XCOM® 2,84,"63,415",50.39,90,"503,99",2016 年 2 月 5 日,268500,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_2300_150_12
287,DEVOUR,92,"48,453",320.0,20,"400,00",2021 年 1 月 28 日,1274570,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_2300_150_12
288,Ravenswatch 鸦卫奇旅,78,"3,514",2070.0,10,"2.300,00",2023 年 4 月 7 日,2071280,https://store.steampowered.com/app/2071280/Ravenswatch/?snr=1_7_7_2300_150_12
289,Knights of Honor II: Sovereign,75,"2,545",1425.0,50,"2.850,00",2022 年 12 月 7 日,736820,https://store.steampowered.com/app/736820/Knights_of_Honor_II_Sovereign/?snr=1_7_7_2300_150_12
290,初音未来 Project DIVA MEGA39’s＋,92,"9,242",2319.62,50,"4.639,24",2022 年 5 月 27 日,1761390,https://store.steampowered.com/app/1761390/_Project_DIVA_MEGA39s/?snr=1_7_7_2300_150_12
291,Aliens: Fireteam Elite,81,"15,366",919.6,60,"2.299,00",2021 年 8 月 24 日,1549970,https://store.steampowered.com/app/1549970/Aliens_Fireteam_Elite/?snr=1_7_7_2300_150_12
292,Ghostwire: Tokyo,81,"8,193",1199.6,60,"2.999,00",2022 年 3 月 25 日,1475810,https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_2300_150_12
293,Celeste,97,"68,744",56.24,75,"224,99",2018 年 1 月 26 日,504230,https://store.steampowered.com/app/504230/Celeste/?snr=1_7_7_2300_150_12
294,EARTH DEFENSE FORCE 5,94,"6,875",227.49,65,"649,99",2019 年 7 月 11 日,1007040,https://store.steampowered.com/app/1007040/EARTH_DEFENSE_FORCE_5/?snr=1_7_7_2300_150_12
295,A Total War Saga: TROY,71,"2,101",1499.5,50,"2.999,00",2021 年 9 月 2 日,1099410,https://store.steampowered.com/app/1099410/A_Total_War_Saga_TROY/?snr=1_7_7_2300_150_12
296,SIGNALIS,96,"7,960",848.0,20,"1.060,00",2022 年 10 月 27 日,1262350,https://store.steampowered.com/app/1262350/SIGNALIS/?snr=1_7_7_2300_150_12
297,控制 - 终极合辑 / Control Ultimate Edition,88,"28,656",449.75,75,"1.799,00",2020 年 8 月 27 日,870780,https://store.steampowered.com/app/870780/____Control_Ultimate_Edition/?snr=1_7_7_2300_150_12
298,Library Of Ruina,93,"18,667",112.19,66,"329,99",2021 年 8 月 11 日,1256670,https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_2300_150_12
299,Totally Accurate Battle Simulator,98,"101,172",76.49,66,"224,99",2021 年 4 月 2 日,508440,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_2300_150_12
